小区,状态,单价,总价,地址,房型
复元坊,低楼层(共6层)|1993年建|1室0厅|23.06平米|西北,"88,032元/平",203万,,"近地铁,满五年,VR看装修,新上"
阳曲路650弄,高楼层(共6层)|1994年建|1室1厅|42.32平米|南,"56,711元/平",240万,,"满五年,VR看装修,随时看房,新上"
虹延小区,中楼层(共5层)|1995年建|2室1厅|62.93平米|南,"71,985元/平",453万,,"近地铁,VR看装修,随时看房,新上"
丰庄十二街坊,低楼层(共6层)|1997年建|2室2厅|78.98平米|南,"54,191元/平",428万,,"近地铁,满五年,VR看装修,新上"
城市方园,中楼层(共34层)|2011年建|1室1厅|49.6平米|南,"58,871元/平",292万,,"满五年,VR看装修,新上"
曹杨三村(兰岭园),高楼层(共6层)|1981年建|2室2厅|65.04平米|南,"67,959元/平",442万,,"近地铁,VR看装修,新上"
梅陇六村,中楼层(共6层)|1990年建|1室1厅|44.84平米|南,"61,999元/平",278万,,"满两年,VR看装修,新上"
宁和小区,高楼层(共6层)|1992年建|1室1厅|42.21平米|南,"111,822元/平",472万,,"近地铁,满五年,VR看装修,新上"
广海花园,低楼层(共6层)|1994年建|2室1厅|65.11平米|南,"82,783元/平",539万,,"满五年,VR看装修,新上"
正荣御首府,低楼层(共16层)3室2厅|120.95平米|南北,"22,158元/平",268万,,"满五年,VR看装修,随时看房,新上"
田林十四村,高楼层(共6层)|1987年建|1室0厅|36.56平米|南,"88,895元/平",325万,,"近地铁,满五年,VR看装修,新上"
高兴花园一街坊,高楼层(共6层)|1996年建|1室1厅|47.56平米|南,"73,592元/平",350万,,"VR看装修,随时看房,新上"
市京一村,高楼层(共6层)|1997年建|1室1厅|36.63平米|南,"61,426元/平",225万,,"近地铁,满五年,VR看装修,随时看房,新上"
宝仪花苑,低楼层(共6层)|1998年建|3室1厅|89.97平米|南,"83,362元/平",750万,,"满五年,VR看装修,新上"
古美西路420弄,高楼层(共6层)|1996年建|2室1厅|65.97平米|南,"65,182元/平",430万,,"近地铁,满五年,VR看装修,新上"
鑫都城仁和花苑,中楼层(共6层)|2004年建|2室2厅|87.26平米|南,"60,739元/平",530万,,"满五年,VR看装修,新上"
始信北苑,中楼层(共6层)|2003年建|3室2厅|84.3平米|西,"103,203元/平",870万,,"满五年,VR看装修,新上"
长隆住宅小区,高楼层(共6层)|1985年建|2室0厅|48.47平米|南,"71,179元/平",345万,,"近地铁,满五年,VR看装修,新上"
上缝小区,高楼层(共6层)|1988年建|2室1厅|48.76平米|南,"83,676元/平",408万,,"近地铁,满五年,VR看装修,新上"
华阴小区,高楼层(共6层)|1994年建|2室1厅|55.01平米|东西,"58,172元/平",320万,,"满五年,VR看装修,新上"
新泾七村,高楼层(共6层)|1992年建|2室1厅|59.2平米|东西,"68,413元/平",405万,,"近地铁,满五年,VR看装修,新上"
丰庄四村,高楼层(共6层)|1997年建|2室1厅|62.56平米|南北,"51,151元/平",320万,,"满五年,VR看装修,随时看房,新上"
民星路330弄,高楼层(共7层)|1996年建|2室1厅|77.96平米|南,"57,722元/平",450万,,"满五年,VR看装修,新上"
伊犁小区,低楼层(共6层)|1997年建|2室1厅|34.06平米|东,"77,804元/平",265万,,"近地铁,满五年,VR看装修,新上"
水清一村,高楼层(共6层)|1993年建|3室1厅|78.52平米|南,"70,046元/平",550万,,"近地铁,满五年,VR看装修,新上"
莲花新村,高楼层(共6层)|1998年建|3室1厅|86.98平米|南,"64,383元/平",560万,,"满五年,VR看装修,新上"
金地格林郡,高楼层(共9层)|2008年建|2室1厅|89.16平米|南,"36,900元/平",329万,,"满五年,VR看装修,新上"
梦丹苑,高楼层(共6层)|1998年建|2室2厅|86.27平米|南,"34,195元/平",295万,,"满五年,VR看装修,随时看房,新上"
寿山坊,高楼层(共6层)|1989年建|2室1厅|63.42平米|南,"76,002元/平",482万,,"满五年,VR看装修,新上"
沁春园二村,高楼层(共6层)|1997年建|2室1厅|86.44平米|南,"49,746元/平",430万,,"满五年,VR看装修,新上"
嘉实上城名都(公寓),低楼层(共16层)|2010年建|3室2厅|148.05平米|南北,"31,071元/平",460万,,"满五年,VR看装修,新上"
梅陇五村,高楼层(共6层)|1992年建|1室1厅|42.42平米|南,"65,300元/平",277万,,"满五年,VR看装修,新上"
番禺路222弄11支弄,高楼层(共7层)|1993年建|2室1厅|69.14平米|南北,"75,933元/平",525万,,"近地铁,满五年,VR看装修,新上"
馨宁公寓,中楼层(共26层)|2011年建|2室1厅|81.81平米|南,"88,009元/平",720万,,"满两年,VR看装修,新上"
高兴花园二三四街坊,高楼层(共6层)|1996年建|2室1厅|70.77平米|南,"65,000元/平",460万,,"满五年,VR看装修,新上"
高乐小区,高楼层(共6层)|1997年建|3室1厅|94.92平米|南,"35,820元/平",340万,,"近地铁,满五年,VR看装修,新上"
中城绿苑,中楼层(共14层)|2005年建|2室2厅|91.22平米|南北,"90,989元/平",830万,,"满五年,VR看装修,新上"
塘泾北苑,中楼层(共13层)|2015年建|3室2厅|123.35平米|南,"54,804元/平",676万,,"满两年,VR看装修,新上"
控江五村,低楼层(共4层)|1957年建|1室1厅|33.74平米|南,"66,687元/平",225万,,"近地铁,满两年,VR看装修,随时看房,新上"
